,date,account_value
93,2019-05-16,1031546.697451019
94,2019-05-17,1026273.9120285031
95,2019-05-20,1020119.9432777402
96,2019-05-21,1027895.0141189572
97,2019-05-22,1025263.3090766903
98,2019-05-23,1014185.0421684262
99,2019-05-24,1015609.1312477109
100,2019-05-28,1007587.1609245297
101,2019-05-29,1001045.1626937863
102,2019-05-30,1003202.1518714902
103,2019-05-31,990564.9929183957
104,2019-06-03,987945.4202491757
105,2019-06-04,1008715.4082015988
106,2019-06-05,1016994.4252464292
107,2019-06-06,1023592.9847750851
108,2019-06-07,1034433.7974963376
109,2019-06-10,1039183.0328784176
110,2019-06-11,1038873.3746371457
111,2019-06-12,1036808.3335910031
112,2019-06-13,1041351.1301455685
113,2019-06-14,1039802.4309573361
114,2019-06-17,1040834.8698840329
115,2019-06-18,1050952.820323486
116,2019-06-19,1054050.218699951
117,2019-06-20,1064168.0875430296
118,2019-06-21,1062929.1281924436
119,2019-06-24,1061070.6075701902
120,2019-06-25,1050952.820323486
121,2019-06-26,1049713.9425692747
122,2019-06-27,1053843.6982760618
123,2019-06-28,1059935.1124224851
124,2019-07-01,1068091.4860186765
125,2019-07-02,1071291.9406161497
126,2019-07-03,1079758.0540499876
127,2019-07-05,1077891.047404785
128,2019-07-08,1072704.9450335691
129,2019-07-09,1074364.6152911375
130,2019-07-10,1079239.5090899656
131,2019-07-11,1081728.7696871946
132,2019-07-12,1086810.999873657
133,2019-07-15,1087018.4994540403
134,2019-07-16,1083284.5677600096
135,2019-07-17,1076231.5403399656
136,2019-07-18,1080172.8084216306
137,2019-07-19,1073534.7801623533
138,2019-07-22,1076646.3763079832
139,2019-07-23,1084010.4491076658
140,2019-07-24,1089196.6330752561
141,2019-07-25,1083388.1951556394
142,2019-07-26,1091478.5572848509
143,2019-07-29,1089715.178035278
144,2019-07-30,1087018.4994540403
145,2019-07-31,1075194.2872271726
146,2019-08-01,1065652.0808062742
147,2019-08-02,1057976.7178378294
148,2019-08-05,1026445.5940280148
149,2019-08-06,1039929.3949160763
150,2019-08-07,1040759.0668521115
151,2019-08-08,1060569.7690234373
152,2019-08-09,1053724.1595874021
153,2019-08-12,1041277.693408508
154,2019-08-13,1056731.965144653
155,2019-08-14,1026030.7580599972
156,2019-08-15,1028831.3088259884
157,2019-08-16,1043766.954005737
158,2019-08-19,1056524.6287570188
159,2019-08-20,1048226.930240173
160,2019-08-21,1056939.4647250364
161,2019-08-22,1056420.7565722654
162,2019-08-23,1029038.7268099972
163,2019-08-26,1040448.0214724728
164,2019-08-27,1037025.1351580807
165,2019-08-28,1043870.8261904904
166,2019-08-29,1057354.300693054
167,2019-08-30,1058184.1358218382
168,2019-09-03,1050923.608821411
169,2019-09-04,1062436.612475891
170,2019-09-05,1076438.9583239744
171,2019-09-06,1077476.1298403929
172,2019-09-09,1077476.1298403929
173,2019-09-10,1077891.047404785
174,2019-09-11,1085670.1193652342
175,2019-09-12,1088989.1334948728
176,2019-09-13,1088470.5069384763
177,2019-09-16,1085151.5744052122
178,2019-09-17,1087951.8803820799
179,2019-09-18,1088263.007358093
180,2019-09-19,1088366.797946472
181,2019-09-20,1083077.0681796263
182,2019-09-23,1082973.3591876219
183,2019-09-24,1073949.6977267454
184,2019-09-25,1080587.7259860227
185,2019-09-26,1077994.7563967893
186,2019-09-27,1072497.6086459348
187,2019-09-30,1077891.047404785
188,2019-10-01,1064718.5366854856
189,2019-10-02,1045737.7512393185
190,2019-10-03,1054346.5767321775
191,2019-10-04,1069377.2000918577
192,2019-10-07,1064582.4339328
193,2019-10-08,1048008.9863238522
194,2019-10-09,1057911.277545471
195,2019-10-10,1064686.714099426
196,2019-10-11,1076465.2323565672
197,2019-10-14,1075005.881198425
198,2019-10-15,1085637.9703936765
199,2019-10-16,1083553.1830249021
200,2019-10-17,1086680.2824816892
201,2019-10-18,1082406.672366638
202,2019-10-21,1089911.5805087278
203,2019-10-22,1086054.846271057
204,2019-10-23,1089181.8641314695
205,2019-10-24,1091266.651500244
206,2019-10-25,1095748.7403521726
207,2019-10-28,1101794.4605288694
208,2019-10-29,1101168.9427218626
209,2019-10-30,1104608.7194857786
210,2019-10-31,1101377.584651489
211,2019-11-01,1112113.7908206175
212,2019-11-04,1116178.9221987913
213,2019-11-05,1114823.7696109007
214,2019-11-06,1115761.9647250364
215,2019-11-07,1119305.940059204
216,2019-11-08,1122328.759349365
217,2019-11-11,1120139.6918139646
218,2019-11-12,1122016.082042236
219,2019-11-13,1122849.9153933714
220,2019-11-14,1123996.50764801
221,2019-11-15,1132856.486781616
