,date,account_value
63,2019-04-03,1065700.5751182556
64,2019-04-04,1061874.5472434997
65,2019-04-05,1065228.779925537
66,2019-04-08,1065474.879006958
67,2019-04-09,1061208.238433838
68,2019-04-10,1067242.4067588807
69,2019-04-11,1068174.4445487976
70,2019-04-12,1072402.838594818
71,2019-04-15,1073084.7601715089
72,2019-04-16,1071103.3045150756
73,2019-04-17,1078223.6973510743
74,2019-04-18,1089779.6637199402
75,2019-04-22,1092625.371685028
76,2019-04-23,1105087.828503418
77,2019-04-24,1101840.705747223
78,2019-04-25,1133378.1091026305
79,2019-04-26,1139077.1875961304
80,2019-04-29,1138126.508883667
81,2019-04-30,1144682.4733657837
82,2019-05-01,1122878.266116333
83,2019-05-02,1109323.3701789856
84,2019-05-03,1131387.635358429
85,2019-05-06,1125146.4726211547
86,2019-05-07,1103035.825971222
87,2019-05-08,1102938.7343109131
88,2019-05-09,1102840.6014503478
89,2019-05-10,1117001.7827674865
90,2019-05-13,1083778.0461434403
91,2019-05-14,1095901.985749878
92,2019-05-15,1111333.0431229249
93,2019-05-16,1136993.0218826905
94,2019-05-17,1129409.6578690186
95,2019-05-20,1113096.7023026124
96,2019-05-21,1119092.9239822999
97,2019-05-22,1125882.4767166749
98,2019-05-23,1112744.0116287842
99,2019-05-24,1113273.0133377686
100,2019-05-28,1112567.700593628
101,2019-05-29,1101809.914704956
102,2019-05-30,1108775.9156815186
103,2019-05-31,1090699.438142456
104,2019-06-03,1056838.938142456
105,2019-06-04,1086114.184968628
106,2019-06-05,1109657.7452713624
107,2019-06-06,1127205.2211014405
108,2019-06-07,1158772.8544022217
109,2019-06-10,1169354.5350662842
110,2019-06-11,1164945.5243240967
111,2019-06-12,1159566.7342850342
112,2019-06-13,1166885.3573319092
113,2019-06-14,1168031.8592850342
114,2019-06-17,1171558.9032303467
115,2019-06-18,1191928.247468628
116,2019-06-19,1196601.6561600342
117,2019-06-20,1207711.5838944092
118,2019-06-21,1207888.4437576905
119,2019-06-24,1215030.8929764405
120,2019-06-25,1176673.020906128
121,2019-06-26,1181082.0316483155
122,2019-06-27,1183021.864656128
123,2019-06-28,1181346.7040115967
124,2019-07-01,1196513.2948319092
125,2019-07-02,1204449.3495194092
126,2019-07-03,1212209.093171753
127,2019-07-05,1208681.9120194092
128,2019-07-08,1207800.2196365967
129,2019-07-09,1203391.2088944092
130,2019-07-10,1215648.3246170655
131,2019-07-11,1220497.7699295655
132,2019-07-12,1224906.780671753
133,2019-07-15,1224906.780671753
134,2019-07-16,1208858.0858475342
135,2019-07-17,1201715.9110428467
136,2019-07-18,1203038.5868240967
137,2019-07-19,1204802.108796753
138,2019-07-22,1220762.1678787842
139,2019-07-23,1228345.737703003
