,date,account_value
92,2019-05-15,1025778.442356109
93,2019-05-16,1023853.4672763819
94,2019-05-17,1021353.2824371333
95,2019-05-20,1007547.3918003077
96,2019-05-21,1015825.8501598353
97,2019-05-22,1006712.8602390285
98,2019-05-23,999192.307358932
99,2019-05-24,997508.7234920496
100,2019-05-28,995685.2857521052
101,2019-05-29,993570.5862190241
102,2019-05-30,995872.9611843104
103,2019-05-31,987690.6272552485
104,2019-06-03,983161.3176700587
105,2019-06-04,999520.9302261347
106,2019-06-05,1007072.8315464015
107,2019-06-06,1014117.3221031184
108,2019-06-07,1027200.9878093714
109,2019-06-10,1033707.2324474329
110,2019-06-11,1039732.3065887445
111,2019-06-12,1038035.7824108119
112,2019-06-13,1037920.9076137537
113,2019-06-14,1033999.6891952509
114,2019-06-17,1037217.4657016748
115,2019-06-18,1050103.3036163324
116,2019-06-19,1048444.519169616
117,2019-06-20,1053012.5563842768
118,2019-06-21,1051035.2099708552
119,2019-06-24,1050445.319619369
120,2019-06-25,1041561.6540477746
121,2019-06-26,1054138.3190425867
122,2019-06-27,1053953.4867019646
123,2019-06-28,1048445.7550640099
124,2019-07-01,1059505.452884292
125,2019-07-02,1063126.3205532068
126,2019-07-03,1068324.778005218
127,2019-07-05,1067757.8205486292
128,2019-07-08,1054506.3158962242
129,2019-07-09,1058370.0113964074
130,2019-07-10,1064724.2755859368
131,2019-07-11,1059953.4992507927
132,2019-07-12,1064977.8474914543
133,2019-07-15,1071217.422905349
134,2019-07-16,1068873.5739109032
135,2019-07-17,1065052.3600917808
136,2019-07-18,1072769.837641906
137,2019-07-19,1062426.0756240836
138,2019-07-22,1078127.0816829675
139,2019-07-23,1083657.2467727654
140,2019-07-24,1083067.1064613336
141,2019-07-25,1077343.1572334282
142,2019-07-26,1079851.279433059
143,2019-07-29,1086665.4897384637
144,2019-07-30,1083474.6299259178
145,2019-07-31,1098653.3890991204
146,2019-08-01,1082103.3532176963
147,2019-08-02,1066162.9303974144
148,2019-08-05,1027303.398680114
149,2019-08-06,1040703.8375164025
150,2019-08-07,1048220.9676197045
151,2019-08-08,1064510.911727523
152,2019-08-09,1058242.4284492484
153,2019-08-12,1056312.070408248
154,2019-08-13,1088568.556235122
155,2019-08-14,1064774.3317024224
156,2019-08-15,1060881.5282714837
157,2019-08-16,1079316.611929702
158,2019-08-19,1094321.3478038781
159,2019-08-20,1094355.3397228234
160,2019-08-21,1103351.5529224388
161,2019-08-22,1102631.2322784418
162,2019-08-23,1063372.148451995
163,2019-08-26,1078851.9120510095
164,2019-08-27,1069417.9930812828
165,2019-08-28,1074990.731412124
166,2019-08-29,1089239.823343658
167,2019-08-30,1088122.114166259
168,2019-09-03,1075514.9127494805
169,2019-09-04,1090063.3813613886
170,2019-09-05,1107214.7023189538
171,2019-09-06,1107125.0303272242
172,2019-09-09,1110981.8683811182
173,2019-09-10,1121776.4788570397
174,2019-09-11,1151352.8708541864
175,2019-09-12,1149188.2923652641
176,2019-09-13,1130335.0825675959
177,2019-09-16,1135352.3732307428
178,2019-09-17,1138860.651905059
179,2019-09-18,1147997.9010128016
180,2019-09-19,1139953.4332420342
181,2019-09-20,1125522.2650608057
182,2019-09-23,1129962.8207904808
183,2019-09-24,1125261.2355453484
184,2019-09-25,1140465.5689067834
185,2019-09-26,1135256.1431541436
186,2019-09-27,1130340.0347156518
187,2019-09-30,1154097.6968803399
188,2019-10-01,1156968.2095699303
189,2019-10-02,1130706.8920047753
190,2019-10-03,1139421.6124832146
191,2019-10-04,1168589.0122859948
192,2019-10-07,1168820.3493171686
193,2019-10-08,1156147.060175323
194,2019-10-09,1168731.2013236992
195,2019-10-10,1183449.1616252894
196,2019-10-11,1213041.470020675
197,2019-10-14,1211382.80266838
198,2019-10-15,1208690.042601394
199,2019-10-16,1204019.4144824976
200,2019-10-17,1208504.3693447106
201,2019-10-18,1214103.1533004753
202,2019-10-21,1234532.8828071589
203,2019-10-22,1231772.1562282555
204,2019-10-23,1247974.5482307428
205,2019-10-24,1249991.849870681
206,2019-10-25,1265235.0606014244
207,2019-10-28,1277844.8549453728
208,2019-10-29,1248286.7046812966
209,2019-10-30,1248132.7465018227
210,2019-10-31,1276351.2740286782
211,2019-11-01,1312573.8025511696
212,2019-11-04,1321193.1603506997
213,2019-11-05,1319294.898036857
214,2019-11-06,1319859.252723594
215,2019-11-07,1335091.5942114785
216,2019-11-08,1338745.186000724
217,2019-11-11,1349346.1703833535
218,2019-11-12,1348110.8562735512
219,2019-11-13,1361027.6381873086
220,2019-11-14,1351610.5692023232
221,2019-11-15,1367666.0039557412
222,2019-11-18,1374561.8391989663
223,2019-11-19,1370393.3084601357
224,2019-11-20,1354440.6711310341
225,2019-11-21,1348368.4843863442
226,2019-11-22,1347184.5689887002
227,2019-11-25,1370804.9740714028
228,2019-11-26,1360101.192264457
229,2019-11-27,1378369.9444006875
230,2019-11-29,1375333.4544333413
231,2019-12-02,1359432.3744543984
232,2019-12-03,1335194.391635795
233,2019-12-04,1346978.8155020669
234,2019-12-05,1366739.5580328896
235,2019-12-06,1393138.983608146
236,2019-12-09,1373635.5519141152
237,2019-12-10,1381663.2692908242
238,2019-12-11,1393447.5345190957
239,2019-12-12,1396998.6461600258
240,2019-12-13,1415987.2975424721
241,2019-12-16,1440225.4389990761
242,2019-12-17,1443055.6995657876
243,2019-12-18,1439607.7026251748
244,2019-12-19,1441048.6115836098
245,2019-12-20,1438063.9962424233
246,2019-12-23,1461530.0465506508
247,2019-12-24,1462919.3981589272
248,2019-12-26,1491943.3308142617
249,2019-12-27,1491376.834514518
250,2019-12-30,1500228.2003897622
251,2019-12-31,1511189.4516715005
252,2020-01-02,1545667.8346976235
253,2020-01-03,1530641.3260153725
254,2020-01-06,1542837.574130912
255,2020-01-07,1535581.789264579
256,2020-01-08,1560282.6777686074
257,2020-01-09,1593423.2665366128
258,2020-01-10,1597025.4596137002
259,2020-01-13,1631143.8930167153
260,2020-01-14,1609118.7516669228
261,2020-01-15,1602223.0750616982
262,2020-01-16,1622292.5271414712
263,2020-01-17,1640252.2524527505
264,2020-01-21,1629136.963672538
265,2020-01-22,1634951.9982184365
266,2020-01-23,1642825.3608206704
267,2020-01-24,1638091.1269720986
268,2020-01-27,1589924.0295218423
269,2020-01-28,1634900.5995062783
270,2020-01-29,1669121.6716956093
271,2020-01-30,1666703.076740165
272,2020-01-31,1592805.6888007119
273,2020-02-03,1588431.721851249
274,2020-02-04,1640869.9888266518
275,2020-02-05,1654249.676425834
276,2020-02-06,1673598.7533453896
277,2020-02-07,1650850.8572653725
278,2020-02-10,1658691.3818015053
279,2020-02-11,1648684.1794547036
280,2020-02-12,1687835.56206121
281,2020-02-13,1675816.6712302163
282,2020-02-14,1676229.4473074868
283,2020-02-18,1645537.753353019
284,2020-02-19,1669368.9883383706
285,2020-02-20,1652243.5402716591
286,2020-02-21,1614846.0593985512
287,2020-02-24,1538142.6825064614
288,2020-02-25,1486044.059490104
289,2020-02-26,1509617.507724662
290,2020-02-27,1410939.753642936
291,2020-02-28,1410114.518764396
292,2020-03-02,1541392.3819464638
293,2020-03-03,1492440.3436697915
294,2020-03-04,1561664.2561148598
295,2020-03-05,1511010.3493689492
296,2020-03-06,1490944.704601188
297,2020-03-09,1373026.5406302407
298,2020-03-10,1471910.682750602
299,2020-03-11,1420792.2839392617
300,2020-03-12,1280487.363296409
301,2020-03-13,1433894.1963995888
302,2020-03-16,1249434.5299338296
303,2020-03-17,1304370.076312919
304,2020-03-18,1272440.4507216408
305,2020-03-19,1262691.3524016335
306,2020-03-20,1182531.9673499062
307,2020-03-23,1157411.1640585854
308,2020-03-24,1273523.7896269753
309,2020-03-25,1266508.4999693825
310,2020-03-26,1333153.3551215127
311,2020-03-27,1277959.8633536294
312,2020-03-30,1314428.6773718789
313,2020-03-31,1311746.426059623
314,2020-04-01,1242728.9809721902
315,2020-04-02,1263465.0299300149
316,2020-04-03,1245308.0382651284
317,2020-04-06,1353940.961429496
318,2020-04-07,1338260.070995231
319,2020-04-08,1372510.8084906533
320,2020-04-09,1382414.5788611367
321,2020-04-13,1409547.0706366494
322,2020-04-14,1480730.9555777505
323,2020-04-15,1467216.4256781533
324,2020-04-16,1478874.2564200356
325,2020-04-17,1458808.453014274
326,2020-04-20,1428529.6937750771
327,2020-04-21,1384374.70999517
328,2020-04-22,1424248.212779899
329,2020-04-23,1418728.8794669106
330,2020-04-24,1459685.403880973
331,2020-04-27,1460717.185436149
332,2020-04-28,1437040.781139274
333,2020-04-29,1484238.7590445473
334,2020-04-30,1515549.4584769204
335,2020-05-01,1491151.0926398232
336,2020-05-04,1512248.3603247597
337,2020-05-05,1534944.6990546181
338,2020-05-06,1550780.4201773598
339,2020-05-07,1566822.6879767373
340,2020-05-08,1604114.51594152
341,2020-05-11,1629354.932285209
342,2020-05-12,1610734.9556158974
343,2020-05-13,1591287.3644980385
344,2020-05-14,1601062.9553641274
345,2020-05-15,1591597.5017889931
346,2020-05-18,1629096.352344413
347,2020-05-19,1619682.932033439
